timestamp,raw
2026-05-20T13:02:02,Particles > 1.0um / 0.1L air:50
2026-05-20T13:02:02,Particles > 2.5um / 0.1L air:6
2026-05-20T13:02:02,Particles > 5.0um / 0.1L air:0
2026-05-20T13:02:02,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:03:01,-----------------------------------------
2026-05-20T13:03:02,PM 1.0:3
2026-05-20T13:03:02,PM 2.5:6
2026-05-20T13:03:02,PM  10:6
2026-05-20T13:03:02,PM 1.0:3
2026-05-20T13:03:02,PM 2.5:6
2026-05-20T13:03:02,PM  10:6
2026-05-20T13:03:02,Particles > 0.3um / 0.1L air:489
2026-05-20T13:03:02,Particles > 0.5um / 0.1L air:383
2026-05-20T13:03:02,Particles > 1.0um / 0.1L air:48
2026-05-20T13:03:02,Particles > 2.5um / 0.1L air:6
2026-05-20T13:03:02,Particles > 5.0um / 0.1L air:0
2026-05-20T13:03:02,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:04:06,-----------------------------------------
2026-05-20T13:04:06,PM 1.0:3
2026-05-20T13:04:06,PM 2.5:6
2026-05-20T13:04:06,PM  10:6
2026-05-20T13:04:06,PM 1.0:3
2026-05-20T13:04:06,PM 2.5:6
2026-05-20T13:04:06,PM  10:6
2026-05-20T13:04:06,Particles > 0.3um / 0.1L air:431
2026-05-20T13:04:07,Particles > 0.5um / 0.1L air:345
2026-05-20T13:04:07,Particles > 1.0um / 0.1L air:64
2026-05-20T13:04:07,Particles > 2.5um / 0.1L air:0
2026-05-20T13:04:07,Particles > 5.0um / 0.1L air:0
2026-05-20T13:04:07,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:05:06,-----------------------------------------
2026-05-20T13:05:07,PM 1.0:3
2026-05-20T13:05:07,PM 2.5:6
2026-05-20T13:05:07,PM  10:6
2026-05-20T13:05:07,PM 1.0:3
2026-05-20T13:05:07,PM 2.5:6
2026-05-20T13:05:07,PM  10:6
2026-05-20T13:05:07,Particles > 0.3um / 0.1L air:454
2026-05-20T13:05:07,Particles > 0.5um / 0.1L air:373
2026-05-20T13:05:07,Particles > 1.0um / 0.1L air:62
2026-05-20T13:05:07,Particles > 2.5um / 0.1L air:0
2026-05-20T13:05:07,Particles > 5.0um / 0.1L air:0
2026-05-20T13:05:07,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:06:08,-----------------------------------------
2026-05-20T13:06:09,PM 1.0:4
